freq,indic,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 
Q,TOTAL,I15_NSA,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75.05 	77.21 	78.19 	78.84 	78.96 	81.28 	82.59 	83.06 	85.30 	85.44 	88.71 	88.00 	89.06 	92.25 	91.79 	91.68 	92.89 	94.35 	95.32 	96.14 	98.19 	99.97 	101.23 	100.61 	104.04 	106.70 	108.08 	108.00 	109.76 	112.46 	113.67 	112.65 	115.13 	118.94 	120.10 	121.15 	121.53 	125.79 	127.81 	128.74 	131.26 	134.09 	138.00 	138.71 	144.08 	149.12 	153.52 	157.34 	164.63 	169.43 	173.59 	166.32 	164.35 	164.68 	164.29 	161.40 	159.54 	164.34 	165.13 	164.10 p
Q,TOTAL,I15_NSA,BE	70.03 	71.59 	74.12 	75.65 	77.10 	79.18 	81.54 	82.16 	84.05 	85.75 	87.30 	87.70 	88.51 	89.69 	91.07 	90.52 	89.37 	88.56 	90.61 	89.77 	90.11 	90.83 	92.80 	92.65 	93.51 	94.16 	96.05 	95.79 	96.51 	96.72 	97.77 	97.43 	97.87 	98.34 	99.46 	98.53 	97.43 	97.42 	98.81 	99.20 	97.94 	99.13 	101.49 	101.43 	100.37 	101.42 	103.63 	103.90 	104.36 	104.48 	107.81 	107.14 	107.37 	108.51 	110.64 	110.06 	111.00 	111.84 	115.37 	114.72 	115.24 	116.61 	119.05 	121.45 	122.41 	124.78 	128.04 	128.62 	130.02 	132.18 	134.96 	134.55 	135.04 	134.55 	136.31 	138.28 	139.36 	138.96 	141.16 	142.24 p
Q,TOTAL,I15_NSA,BG	76.01 e	79.26 e	81.55 e	83.52 e	87.47 e	88.91 e	92.96 e	98.09 e	107.23 e	112.97 e	121.42 e	132.06 e	141.08 e	149.36 e	153.92 e	147.53 e	130.77 e	118.17 	112.62 	109.58 	107.18 	106.52 	105.38 	104.15 	102.03 	100.23 	99.54 	98.10 	98.23 	98.67 	98.57 	96.82 	96.00 	96.48 	95.52 	95.66 	96.66 	96.97 	97.21 	98.32 	98.85 b	99.71 	99.21 	102.23 	103.38 	106.24 	107.94 	110.52 	112.66 	115.37 	117.62 	119.53 	120.65 	124.03 	124.99 	126.15 	129.45 	130.26 	131.97 	133.99 	135.54 	134.07 	138.81 	141.23 	145.72 	146.23 	150.90 	154.48 	162.52 b	167.58 	174.43 	175.14 	177.93 	185.50 	190.48 	192.78 	206.42 	213.53 	221.91 	228.00 p
Q,TOTAL,I15_NSA,CY	93.41 	95.38 	98.79 	100.64 	103.04 	106.44 	110.64 	114.16 	116.41 	119.71 	124.05 	125.11 	129.59 	130.42 	128.69 	123.96 	122.40 	121.17 	119.19 	116.27 	114.37 	112.79 	112.39 	112.05 	111.56 	113.99 	111.22 	107.60 	106.40 	106.02 	110.14 	108.22 	104.54 	104.77 	103.05 	100.78 	98.08 	103.55 	102.70 	101.56 	97.52 b	100.59 	102.49 	99.40 	97.29 	99.18 	101.87 	102.72 	99.64 	102.74 	102.46 	105.24 	103.10 	104.01 	103.12 	107.04 	107.93 	112.73 	105.64 	106.51 	109.13 	109.48 	104.21 	109.10 	102.84 	104.23 	106.80 	103.44 	103.95 	106.35 	109.95 	108.27 	110.31 	110.15 	110.65 	109.95 	111.53 	112.86 	113.62 	112.47 
Q,TOTAL,I15_NSA,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.20 	101.20 	102.70 	102.10 	99.90 	96.70 	95.90 	95.20 	95.20 	95.40 	95.10 	95.20 	95.40 	95.90 	95.30 	94.40 	93.90 	94.00 	93.80 	93.70 	93.60 	94.10 	94.00 	93.80 	95.00 	95.80 	96.60 	97.30 	98.30 	99.40 	100.60 	101.70 	103.00 	105.10 	107.70 	112.80 	116.20 	119.10 	121.20 	122.30 	125.00 	128.70 	131.90 	134.40 	137.20 	140.60 	143.40 	146.40 	149.00 	151.50 	155.40 	159.50 	168.90 	177.60 	189.80 	200.60 	210.00 	217.20 	219.40 	214.50 	211.80 	211.00 	211.70 	212.30 	214.30 	219.90 	224.70 	230.20 
Q,TOTAL,I15_NSA,DE	84.20 	82.70 	84.40 	82.00 	83.20 	83.50 	82.30 	83.00 	80.00 	81.70 	81.60 	81.60 	82.80 	83.10 	81.60 	81.80 	81.80 	83.10 	82.90 	84.20 	83.00 	84.30 	84.30 	83.80 	86.10 	87.10 	86.70 	87.30 	88.00 	89.10 	90.40 	91.60 	91.30 	93.10 	92.90 	93.00 	93.80 	95.70 	96.20 	96.20 	97.80 	99.90 	100.40 	101.80 	103.90 	106.90 	108.80 	110.40 	110.90 	113.10 	115.00 	117.30 	118.30 	120.60 	123.10 	124.60 	124.60 	127.80 	129.60 	132.70 	133.80 	136.20 	140.30 	144.30 	146.30 	151.80 	158.20 	162.50 	163.10 	166.10 	164.80 	156.10 	152.00 	150.00 	147.90 	145.00 	144.10 p	146.30 p	147.30 p	147.80 p
Q,TOTAL,I15_NSA,DK	75.49 	79.45 	85.55 	91.18 	97.67 	103.63 	105.66 	104.58 	105.01 	106.40 	106.57 	104.57 	103.24 	103.55 	100.90 	93.04 	87.14 	88.18 	88.88 	88.54 	89.11 	90.99 	91.73 	90.78 	89.90 	91.94 	88.90 	85.73 	85.74 	86.99 	87.26 	86.85 	88.02 	91.16 	91.21 	89.94 	91.22 	94.68 	94.20 	93.82 	94.51 b	100.15 	102.58 	102.75 	99.31 	104.23 	107.66 	107.07 	105.30 	109.77 	112.32 	111.61 	111.60 	115.88 	116.13 	114.74 	114.86 	117.45 	118.72 	117.50 	118.28 	120.79 	123.65 	125.98 	129.02 	136.23 	139.81 	140.05 	141.45 	143.96 	144.39 	140.99 	135.13 	135.67 	138.07 	140.26 	136.66 	140.94 	145.27 	145.51 
Q,TOTAL,I15_NSA,EA	89.18 	90.56 	92.84 	93.51 	95.24 	97.22 	98.59 	99.75 	99.83 	101.60 	102.65 	102.85 	103.36 	103.69 	103.18 	101.55 	100.23 	99.98 	99.92 	100.36 	99.96 	101.14 	101.65 	101.57 	101.96 	102.81 	102.53 	101.46 	100.57 	100.26 	99.96 	99.51 	97.91 	98.28 	98.36 	97.83 	97.64 	98.50 	98.93 	98.39 	98.39 	99.88 	100.78 	100.95 	101.85 	103.56 	105.10 	105.63 	106.32 	107.94 	109.66 	110.50 	111.45 	113.24 	114.98 	115.72 	116.16 	118.25 	119.93 	120.93 	122.28 	124.25 	125.94 	127.70 	129.47 	133.03 	137.30 	139.87 	142.13 	145.22 	146.43 	143.64 	142.50 	142.78 	143.13 	142.02 	142.11 	144.78 	147.00 	147.94 
Q,TOTAL,I15_NSA,EA20	88.30 	89.66 	91.95 	92.80 	94.70 	96.71 	98.24 	99.57 	99.86 	101.72 	102.89 	103.22 	103.81 	104.19 	103.61 	101.82 	100.31 	99.98 	99.87 	100.27 	99.86 	101.01 	101.52 	101.45 	101.87 	102.73 	102.46 	101.40 	100.53 	100.22 	99.92 	99.46 	97.90 	98.27 	98.35 	97.84 	97.66 	98.53 	98.96 	98.42 	98.41 	99.87 	100.77 	100.94 	101.85 	103.53 	105.07 	105.60 	106.28 	107.92 	109.63 	110.49 	111.44 	113.21 	114.96 	115.70 	116.17 	118.27 	119.94 	120.96 	122.33 	124.30 	125.97 	127.74 	129.50 	133.07 	137.33 	139.91 	142.20 	145.31 	146.55 	143.83 	142.69 	142.98 	143.32 	142.21 	142.30 	144.97 	147.20 	148.14 
Q,TOTAL,I15_NSA,EE	50.59 	57.07 	60.25 	68.14 	77.03 	84.82 	90.76 	100.27 	103.53 	110.16 	107.00 	105.46 	102.22 	99.17 	99.04 	84.74 	66.51 	61.83 	57.25 	56.27 	62.84 	63.42 	65.82 	63.51 	67.03 	68.98 	70.29 	70.98 	71.91 	74.27 	76.17 	75.13 	77.45 	80.30 	84.60 	86.82 	91.01 	91.98 	95.77 	95.57 	98.31 	101.60 	99.63 	100.46 	100.32 	103.47 	106.98 	108.21 	108.08 	108.42 	112.06 	113.49 	115.17 	116.43 	116.71 	119.96 	121.99 	123.14 	126.16 	129.79 	135.98 	128.10 	131.08 	136.01 	144.93 	148.69 	153.71 	163.78 	175.37 	189.36 	190.94 	191.38 	191.43 	198.79 	198.26 	202.40 	206.38 	212.10 	211.03 	209.64 
